block_type,trial_num,true_theta,student_class,heads,tails
nonSeqFull,0,0.2,B,0,9
nonSeqFull,0,0.2,D,0,13
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,D,0,5
nonSeqFull,0,0.8,A,4,0
nonSeqFull,0,0.8,C,16,0
nonSeqPartial,0,0.2,B,0,10
nonSeqPartial,0,0.2,D,0,2
nonSeqPartial,0,0.5,B,1,4
nonSeqPartial,0,0.5,D,0,3
nonSeqPartial,0,0.8,A,4,0
nonSeqPartial,0,0.8,C,13,0
seqNoFeedback,0,0.2,A,0,7
seqNoFeedback,1,0.2,A,0,8
seqNoFeedback,0,0.2,C,0,1
seqNoFeedback,1,0.2,C,1,0
seqNoFeedback,0,0.5,A,0,2
seqNoFeedback,1,0.5,A,0,1
seqNoFeedback,0,0.5,C,1,9
seqNoFeedback,1,0.5,C,0,3
seqNoFeedback,0,0.8,B,1,1
seqNoFeedback,1,0.8,B,2,0
seqNoFeedback,0,0.8,C,16,0
seqNoFeedback,1,0.8,C,2,0
seqFeedback,0,0.2,B,1,0
seqFeedback,1,0.2,B,0,7
seqFeedback,0,0.2,D,1,0
seqFeedback,1,0.2,D,0,12
seqFeedback,0,0.5,B,2,0
seqFeedback,1,0.5,B,1,4
seqFeedback,0,0.5,C,0,5
seqFeedback,1,0.5,C,3,1
seqFeedback,0,0.8,A,11,0
seqFeedback,1,0.8,A,5,0
seqFeedback,0,0.8,D,2,0
seqFeedback,1,0.8,D,0,1
nonSeqFull,0,0.2,A,0,1
nonSeqFull,0,0.2,D,0,12
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,C,4,0
nonSeqFull,0,0.8,B,0,1
nonSeqFull,0,0.8,D,0,1
nonSeqPartial,0,0.2,B,1,3
nonSeqPartial,0,0.2,D,1,1
nonSeqPartial,0,0.5,B,0,2
nonSeqPartial,0,0.5,C,0,4
nonSeqPartial,0,0.8,B,5,0
nonSeqPartial,0,0.8,C,0,2
seqNoFeedback,0,0.2,B,1,0
seqNoFeedback,1,0.2,B,1,0
seqNoFeedback,0,0.2,D,0,1
seqNoFeedback,1,0.2,D,0,14
seqNoFeedback,0,0.5,A,2,0
seqNoFeedback,1,0.5,A,4,0
seqNoFeedback,0,0.5,C,6,0
seqNoFeedback,1,0.5,C,4,0
seqNoFeedback,0,0.8,A,7,0
seqNoFeedback,1,0.8,A,0,1
seqNoFeedback,0,0.8,D,0,1
seqNoFeedback,1,0.8,D,17,0
seqFeedback,0,0.2,A,1,0
seqFeedback,1,0.2,A,1,1
seqFeedback,0,0.2,C,1,4
seqFeedback,1,0.2,C,0,1
seqFeedback,0,0.5,B,3,0
seqFeedback,1,0.5,B,0,1
seqFeedback,0,0.5,C,2,1
seqFeedback,1,0.5,C,1,0
seqFeedback,0,0.8,B,2,0
seqFeedback,1,0.8,B,1,1
seqFeedback,0,0.8,C,15,0
seqFeedback,1,0.8,C,12,0
nonSeqFull,0,0.2,A,1,0
nonSeqFull,0,0.2,D,0,12
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,C,3,0
nonSeqFull,0,0.8,B,2,1
nonSeqFull,0,0.8,D,1,0
nonSeqPartial,0,0.2,B,0,1
nonSeqPartial,0,0.2,D,1,24
nonSeqPartial,0,0.5,A,2,0
nonSeqPartial,0,0.5,D,0,3
nonSeqPartial,0,0.8,B,6,0
nonSeqPartial,0,0.8,D,12,0
seqNoFeedback,0,0.2,A,1,1
seqNoFeedback,1,0.2,A,1,0
seqNoFeedback,0,0.2,D,0,11
seqNoFeedback,1,0.2,D,0,1
seqNoFeedback,0,0.5,B,0,2
seqNoFeedback,1,0.5,B,0,2
seqNoFeedback,0,0.5,D,3,1
seqNoFeedback,1,0.5,D,4,0
seqNoFeedback,0,0.8,B,4,0
seqNoFeedback,1,0.8,B,6,0
seqNoFeedback,0,0.8,C,2,0
seqNoFeedback,1,0.8,C,1,0
seqFeedback,0,0.2,A,0,10
seqFeedback,1,0.2,A,0,10
seqFeedback,0,0.2,D,0,12
seqFeedback,1,0.2,D,0,16
seqFeedback,0,0.5,A,1,4
seqFeedback,1,0.5,A,3,0
seqFeedback,0,0.5,D,0,4
seqFeedback,1,0.5,D,0,5
seqFeedback,0,0.8,B,1,0
seqFeedback,1,0.8,B,6,3
seqFeedback,0,0.8,C,17,0
seqFeedback,1,0.8,C,13,0
nonSeqFull,0,0.2,A,1,0
nonSeqFull,0,0.2,C,0,1
nonSeqFull,0,0.5,A,2,0
nonSeqFull,0,0.5,C,5,1
nonSeqFull,0,0.8,A,9,0
nonSeqFull,0,0.8,D,1,1
nonSeqPartial,0,0.2,A,0,6
nonSeqPartial,0,0.2,C,0,14
nonSeqPartial,0,0.5,A,2,0
nonSeqPartial,0,0.5,D,4,0
nonSeqPartial,0,0.8,B,5,1
nonSeqPartial,0,0.8,C,17,0
seqNoFeedback,0,0.2,B,1,0
seqNoFeedback,1,0.2,B,0,3
seqNoFeedback,0,0.2,C,0,1
seqNoFeedback,1,0.2,C,1,2
seqNoFeedback,0,0.5,A,2,0
seqNoFeedback,1,0.5,A,5,2
seqNoFeedback,0,0.5,D,1,5
seqNoFeedback,1,0.5,D,4,0
seqNoFeedback,0,0.8,B,0,1
seqNoFeedback,1,0.8,B,1,1
seqNoFeedback,0,0.8,C,2,1
seqNoFeedback,1,0.8,C,18,0
seqFeedback,0,0.2,A,0,1
seqFeedback,1,0.2,A,0,6
seqFeedback,0,0.2,C,1,0
seqFeedback,1,0.2,C,1,0
seqFeedback,0,0.5,B,0,2
seqFeedback,1,0.5,B,0,2
seqFeedback,0,0.5,C,0,4
seqFeedback,1,0.5,C,5,0
seqFeedback,0,0.8,A,5,0
seqFeedback,1,0.8,A,11,0
seqFeedback,0,0.8,C,0,1
seqFeedback,1,0.8,C,12,0
nonSeqFull,0,0.2,B,0,6
nonSeqFull,0,0.2,C,1,2
nonSeqFull,0,0.5,B,0,5
nonSeqFull,0,0.5,C,5,1
nonSeqFull,0,0.8,A,6,0
nonSeqFull,0,0.8,C,13,0
nonSeqPartial,0,0.2,B,0,9
nonSeqPartial,0,0.2,D,0,1
nonSeqPartial,0,0.5,B,1,1
nonSeqPartial,0,0.5,D,6,0
nonSeqPartial,0,0.8,A,1,0
nonSeqPartial,0,0.8,C,18,0
seqNoFeedback,0,0.2,B,0,7
seqNoFeedback,1,0.2,B,0,1
seqNoFeedback,0,0.2,C,0,1
seqNoFeedback,1,0.2,C,0,1
seqNoFeedback,0,0.5,B,0,1
seqNoFeedback,1,0.5,B,4,0
seqNoFeedback,0,0.5,D,5,0
seqNoFeedback,1,0.5,D,6,0
seqNoFeedback,0,0.8,B,0,1
seqNoFeedback,1,0.8,B,14,0
seqNoFeedback,0,0.8,C,0,1
seqNoFeedback,1,0.8,C,1,0
seqFeedback,0,0.2,A,0,5
seqFeedback,1,0.2,A,0,1
seqFeedback,0,0.2,C,1,0
seqFeedback,1,0.2,C,1,0
seqFeedback,0,0.5,A,1,0
seqFeedback,1,0.5,A,4,0
seqFeedback,0,0.5,C,0,3
seqFeedback,1,0.5,C,5,1
seqFeedback,0,0.8,B,1,0
seqFeedback,1,0.8,B,1,0
seqFeedback,0,0.8,C,1,1
seqFeedback,1,0.8,C,14,0
nonSeqFull,0,0.2,A,1,1
nonSeqFull,0,0.2,C,0,2
nonSeqFull,0,0.5,B,0,1
nonSeqFull,0,0.5,C,2,0
nonSeqFull,0,0.8,B,2,0
nonSeqFull,0,0.8,D,0,1
nonSeqPartial,0,0.2,A,0,6
nonSeqPartial,0,0.2,D,0,15
nonSeqPartial,0,0.5,A,0,1
nonSeqPartial,0,0.5,D,0,3
nonSeqPartial,0,0.8,B,5,0
nonSeqPartial,0,0.8,D,2,1
seqNoFeedback,0,0.2,B,1,0
seqNoFeedback,1,0.2,B,0,10
seqNoFeedback,0,0.2,C,0,2
seqNoFeedback,1,0.2,C,0,15
seqNoFeedback,0,0.5,A,1,2
seqNoFeedback,1,0.5,A,0,3
seqNoFeedback,0,0.5,C,3,0
seqNoFeedback,1,0.5,C,0,3
seqNoFeedback,0,0.8,B,1,1
seqNoFeedback,1,0.8,B,0,1
seqNoFeedback,0,0.8,C,1,0
seqNoFeedback,1,0.8,C,17,0
seqFeedback,0,0.2,A,1,4
seqFeedback,1,0.2,A,0,8
seqFeedback,0,0.2,C,0,12
seqFeedback,1,0.2,C,1,0
seqFeedback,0,0.5,A,0,1
seqFeedback,1,0.5,A,1,0
seqFeedback,0,0.5,D,4,0
seqFeedback,1,0.5,D,3,0
seqFeedback,0,0.8,A,8,0
seqFeedback,1,0.8,A,6,0
seqFeedback,0,0.8,D,11,0
seqFeedback,1,0.8,D,1,0
nonSeqFull,0,0.2,A,2,1
nonSeqFull,0,0.2,C,1,0
nonSeqFull,0,0.5,B,2,3
nonSeqFull,0,0.5,D,0,5
nonSeqFull,0,0.8,A,7,0
nonSeqFull,0,0.8,D,1,1
nonSeqPartial,0,0.2,B,0,10
nonSeqPartial,0,0.2,D,0,7
nonSeqPartial,0,0.5,A,2,0
nonSeqPartial,0,0.5,C,0,3
nonSeqPartial,0,0.8,A,2,1
nonSeqPartial,0,0.8,C,13,0
seqNoFeedback,0,0.2,B,0,11
seqNoFeedback,1,0.2,B,0,8
seqNoFeedback,0,0.2,C,0,16
seqNoFeedback,1,0.2,C,0,3
seqNoFeedback,0,0.5,B,2,0
seqNoFeedback,1,0.5,B,1,0
seqNoFeedback,0,0.5,C,0,5
seqNoFeedback,1,0.5,C,3,0
seqNoFeedback,0,0.8,A,8,0
seqNoFeedback,1,0.8,A,1,1
seqNoFeedback,0,0.8,C,1,1
seqNoFeedback,1,0.8,C,14,0
seqFeedback,0,0.2,A,1,1
seqFeedback,1,0.2,A,0,1
seqFeedback,0,0.2,C,0,1
seqFeedback,1,0.2,C,0,1
seqFeedback,0,0.5,A,0,2
seqFeedback,1,0.5,A,1,0
seqFeedback,0,0.5,D,4,0
seqFeedback,1,0.5,D,0,5
seqFeedback,0,0.8,A,0,1
seqFeedback,1,0.8,A,4,0
seqFeedback,0,0.8,C,15,0
seqFeedback,1,0.8,C,9,0
nonSeqFull,0,0.2,A,1,0
nonSeqFull,0,0.2,C,1,0
nonSeqFull,0,0.5,A,2,0
nonSeqFull,0,0.5,D,0,2
nonSeqFull,0,0.8,A,4,0
nonSeqFull,0,0.8,C,16,0
nonSeqPartial,0,0.2,B,1,1
nonSeqPartial,0,0.2,C,1,1
nonSeqPartial,0,0.5,B,2,0
nonSeqPartial,0,0.5,D,0,4
nonSeqPartial,0,0.8,B,7,0
nonSeqPartial,0,0.8,C,0,1
seqNoFeedback,0,0.2,A,1,0
seqNoFeedback,1,0.2,A,0,1
seqNoFeedback,0,0.2,C,0,12
seqNoFeedback,1,0.2,C,0,14
seqNoFeedback,0,0.5,A,3,0
seqNoFeedback,1,0.5,A,1,1
seqNoFeedback,0,0.5,C,0,5
seqNoFeedback,1,0.5,C,0,4
seqNoFeedback,0,0.8,A,1,1
seqNoFeedback,1,0.8,A,6,0
seqNoFeedback,0,0.8,D,16,0
seqNoFeedback,1,0.8,D,8,0
seqFeedback,0,0.2,B,1,1
seqFeedback,1,0.2,B,0,9
seqFeedback,0,0.2,C,0,2
seqFeedback,1,0.2,C,0,1
seqFeedback,0,0.5,A,4,0
seqFeedback,1,0.5,A,3,0
seqFeedback,0,0.5,D,5,0
seqFeedback,1,0.5,D,0,3
seqFeedback,0,0.8,B,2,0
seqFeedback,1,0.8,B,1,0
seqFeedback,0,0.8,C,13,0
seqFeedback,1,0.8,C,14,0
nonSeqFull,0,0.2,A,1,1
nonSeqFull,0,0.2,D,1,13
nonSeqFull,0,0.5,B,0,3
nonSeqFull,0,0.5,C,6,0
nonSeqFull,0,0.8,B,2,1
nonSeqFull,0,0.8,D,0,1
nonSeqPartial,0,0.2,A,0,4
nonSeqPartial,0,0.2,C,0,1
nonSeqPartial,0,0.5,A,3,0
nonSeqPartial,0,0.5,C,4,0
nonSeqPartial,0,0.8,A,8,0
nonSeqPartial,0,0.8,C,0,1
seqNoFeedback,0,0.2,B,0,8
seqNoFeedback,1,0.2,B,1,3
seqNoFeedback,0,0.2,D,0,1
seqNoFeedback,1,0.2,D,0,18
seqNoFeedback,0,0.5,B,0,1
seqNoFeedback,1,0.5,B,0,2
seqNoFeedback,0,0.5,C,4,0
seqNoFeedback,1,0.5,C,4,0
seqNoFeedback,0,0.8,A,4,0
seqNoFeedback,1,0.8,A,0,1
seqNoFeedback,0,0.8,C,15,0
seqNoFeedback,1,0.8,C,1,0
seqFeedback,0,0.2,A,0,8
seqFeedback,1,0.2,A,0,7
seqFeedback,0,0.2,C,2,1
seqFeedback,1,0.2,C,1,1
seqFeedback,0,0.5,A,2,0
seqFeedback,1,0.5,A,1,0
seqFeedback,0,0.5,C,0,5
seqFeedback,1,0.5,C,3,0
seqFeedback,0,0.8,A,1,0
seqFeedback,1,0.8,A,7,0
seqFeedback,0,0.8,C,1,0
seqFeedback,1,0.8,C,12,0
nonSeqFull,0,0.2,A,0,2
nonSeqFull,0,0.2,C,1,2
nonSeqFull,0,0.5,B,1,2
nonSeqFull,0,0.5,D,0,7
nonSeqFull,0,0.8,B,0,1
nonSeqFull,0,0.8,D,1,0
nonSeqPartial,0,0.2,A,0,10
nonSeqPartial,0,0.2,D,0,10
nonSeqPartial,0,0.5,B,1,0
nonSeqPartial,0,0.5,C,4,0
nonSeqPartial,0,0.8,A,4,0
nonSeqPartial,0,0.8,C,0,1
seqNoFeedback,0,0.2,A,1,2
seqNoFeedback,1,0.2,A,0,5
seqNoFeedback,0,0.2,C,1,0
seqNoFeedback,1,0.2,C,1,4
seqNoFeedback,0,0.5,A,0,1
seqNoFeedback,1,0.5,A,1,0
seqNoFeedback,0,0.5,D,5,0
seqNoFeedback,1,0.5,D,4,1
seqNoFeedback,0,0.8,A,8,0
seqNoFeedback,1,0.8,A,1,0
seqNoFeedback,0,0.8,D,17,1
seqNoFeedback,1,0.8,D,0,1
seqFeedback,0,0.2,A,0,1
seqFeedback,1,0.2,A,1,0
seqFeedback,0,0.2,D,0,1
seqFeedback,1,0.2,D,0,11
seqFeedback,0,0.5,A,2,5
seqFeedback,1,0.5,A,0,5
seqFeedback,0,0.5,C,5,0
seqFeedback,1,0.5,C,6,0
seqFeedback,0,0.8,A,2,1
seqFeedback,1,0.8,A,7,0
seqFeedback,0,0.8,D,14,0
seqFeedback,1,0.8,D,2,0
nonSeqFull,0,0.2,B,0,7
nonSeqFull,0,0.2,C,1,0
nonSeqFull,0,0.5,B,0,1
nonSeqFull,0,0.5,D,0,4
nonSeqFull,0,0.8,B,0,1
nonSeqFull,0,0.8,D,1,1
nonSeqPartial,0,0.2,B,1,1
nonSeqPartial,0,0.2,C,0,12
nonSeqPartial,0,0.5,A,2,0
nonSeqPartial,0,0.5,C,3,0
nonSeqPartial,0,0.8,A,12,0
nonSeqPartial,0,0.8,D,14,0
seqNoFeedback,0,0.2,B,0,6
seqNoFeedback,1,0.2,B,0,5
seqNoFeedback,0,0.2,D,1,15
seqNoFeedback,1,0.2,D,0,21
seqNoFeedback,0,0.5,A,1,2
seqNoFeedback,1,0.5,A,2,0
seqNoFeedback,0,0.5,C,2,6
seqNoFeedback,1,0.5,C,3,2
seqNoFeedback,0,0.8,A,7,0
seqNoFeedback,1,0.8,A,4,0
seqNoFeedback,0,0.8,D,2,1
seqNoFeedback,1,0.8,D,0,1
seqFeedback,0,0.2,A,0,10
seqFeedback,1,0.2,A,0,1
seqFeedback,0,0.2,C,2,0
seqFeedback,1,0.2,C,1,0
seqFeedback,0,0.5,B,2,0
seqFeedback,1,0.5,B,0,2
seqFeedback,0,0.5,D,2,4
seqFeedback,1,0.5,D,0,5
seqFeedback,0,0.8,B,4,0
seqFeedback,1,0.8,B,3,0
seqFeedback,0,0.8,C,13,1
seqFeedback,1,0.8,C,19,0
nonSeqFull,0,0.2,B,0,4
nonSeqFull,0,0.2,C,0,1
nonSeqFull,0,0.5,B,0,3
nonSeqFull,0,0.5,C,2,0
nonSeqFull,0,0.8,B,1,1
nonSeqFull,0,0.8,D,0,1
nonSeqPartial,0,0.2,A,0,8
nonSeqPartial,0,0.2,C,0,12
nonSeqPartial,0,0.5,A,3,0
nonSeqPartial,0,0.5,D,4,1
nonSeqPartial,0,0.8,B,10,0
nonSeqPartial,0,0.8,C,18,0
seqNoFeedback,0,0.2,B,1,1
seqNoFeedback,1,0.2,B,0,1
seqNoFeedback,0,0.2,D,1,1
seqNoFeedback,1,0.2,D,1,0
seqNoFeedback,0,0.5,A,0,3
seqNoFeedback,1,0.5,A,0,2
seqNoFeedback,0,0.5,C,0,4
seqNoFeedback,1,0.5,C,0,3
seqNoFeedback,0,0.8,A,0,1
seqNoFeedback,1,0.8,A,1,1
seqNoFeedback,0,0.8,C,1,0
seqNoFeedback,1,0.8,C,8,0
seqFeedback,0,0.2,B,0,8
seqFeedback,1,0.2,B,0,11
seqFeedback,0,0.2,D,0,14
seqFeedback,1,0.2,D,0,22
seqFeedback,0,0.5,A,2,3
seqFeedback,1,0.5,A,2,0
seqFeedback,0,0.5,D,6,0
seqFeedback,1,0.5,D,0,3
seqFeedback,0,0.8,B,5,0
seqFeedback,1,0.8,B,0,1
seqFeedback,0,0.8,C,17,0
seqFeedback,1,0.8,C,13,0
nonSeqFull,0,0.2,B,0,10
nonSeqFull,0,0.2,C,2,0
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,C,5,0
nonSeqFull,0,0.8,A,10,0
nonSeqFull,0,0.8,C,17,0
nonSeqPartial,0,0.2,A,0,9
nonSeqPartial,0,0.2,C,0,16
nonSeqPartial,0,0.5,A,2,0
nonSeqPartial,0,0.5,D,0,4
nonSeqPartial,0,0.8,A,2,1
nonSeqPartial,0,0.8,D,10,0
seqNoFeedback,0,0.2,B,0,9
seqNoFeedback,1,0.2,B,0,7
seqNoFeedback,0,0.2,D,0,13
seqNoFeedback,1,0.2,D,1,0
seqNoFeedback,0,0.5,A,4,1
seqNoFeedback,1,0.5,A,2,0
seqNoFeedback,0,0.5,C,6,0
seqNoFeedback,1,0.5,C,1,4
seqNoFeedback,0,0.8,A,1,0
seqNoFeedback,1,0.8,A,0,1
seqNoFeedback,0,0.8,D,15,0
seqNoFeedback,1,0.8,D,1,1
seqFeedback,0,0.2,B,0,1
seqFeedback,1,0.2,B,0,6
seqFeedback,0,0.2,D,0,1
seqFeedback,1,0.2,D,0,12
seqFeedback,0,0.5,B,2,0
seqFeedback,1,0.5,B,0,2
seqFeedback,0,0.5,D,3,0
seqFeedback,1,0.5,D,0,4
seqFeedback,0,0.8,B,2,1
seqFeedback,1,0.8,B,2,0
seqFeedback,0,0.8,D,1,1
seqFeedback,1,0.8,D,1,0
nonSeqFull,0,0.2,B,0,4
nonSeqFull,0,0.2,D,0,13
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,C,4,0
nonSeqFull,0,0.8,A,11,0
nonSeqFull,0,0.8,D,1,1
nonSeqPartial,0,0.2,B,0,1
nonSeqPartial,0,0.2,C,0,15
nonSeqPartial,0,0.5,B,0,3
nonSeqPartial,0,0.5,C,5,0
nonSeqPartial,0,0.8,A,4,0
nonSeqPartial,0,0.8,D,1,1
seqNoFeedback,0,0.2,B,0,8
seqNoFeedback,1,0.2,B,2,2
seqNoFeedback,0,0.2,C,0,1
seqNoFeedback,1,0.2,C,1,0
seqNoFeedback,0,0.5,B,0,4
seqNoFeedback,1,0.5,B,1,2
seqNoFeedback,0,0.5,C,5,0
seqNoFeedback,1,0.5,C,0,5
seqNoFeedback,0,0.8,A,0,1
seqNoFeedback,1,0.8,A,8,0
seqNoFeedback,0,0.8,D,14,0
seqNoFeedback,1,0.8,D,13,0
seqFeedback,0,0.2,B,1,0
seqFeedback,1,0.2,B,0,4
seqFeedback,0,0.2,C,0,24
seqFeedback,1,0.2,C,1,1
seqFeedback,0,0.5,B,1,0
seqFeedback,1,0.5,B,0,1
seqFeedback,0,0.5,C,0,3
seqFeedback,1,0.5,C,4,0
seqFeedback,0,0.8,B,1,0
seqFeedback,1,0.8,B,1,1
seqFeedback,0,0.8,C,0,1
seqFeedback,1,0.8,C,18,0
nonSeqFull,0,0.2,B,0,5
nonSeqFull,0,0.2,D,0,14
nonSeqFull,0,0.5,A,2,0
nonSeqFull,0,0.5,D,0,6
nonSeqFull,0,0.8,A,15,1
nonSeqFull,0,0.8,D,1,0
nonSeqPartial,0,0.2,B,0,1
nonSeqPartial,0,0.2,D,2,1
nonSeqPartial,0,0.5,A,2,1
nonSeqPartial,0,0.5,C,7,0
nonSeqPartial,0,0.8,B,0,1
nonSeqPartial,0,0.8,C,1,1
seqNoFeedback,0,0.2,B,0,8
seqNoFeedback,1,0.2,B,0,2
seqNoFeedback,0,0.2,C,1,19
seqNoFeedback,1,0.2,C,1,1
seqNoFeedback,0,0.5,B,0,2
seqNoFeedback,1,0.5,B,1,3
seqNoFeedback,0,0.5,C,0,4
seqNoFeedback,1,0.5,C,3,0
seqNoFeedback,0,0.8,B,7,1
seqNoFeedback,1,0.8,B,10,0
seqNoFeedback,0,0.8,D,2,0
seqNoFeedback,1,0.8,D,18,0
seqFeedback,0,0.2,A,1,2
seqFeedback,1,0.2,A,1,0
seqFeedback,0,0.2,C,0,19
seqFeedback,1,0.2,C,1,0
seqFeedback,0,0.5,A,1,3
seqFeedback,1,0.5,A,4,0
seqFeedback,0,0.5,D,0,5
seqFeedback,1,0.5,D,1,5
seqFeedback,0,0.8,A,1,0
seqFeedback,1,0.8,A,1,1
